,year,region,licenses,geopoint,x,y,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
0,2012,Makkah,143954,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
1,1994,Makkah,75349,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
2,1998,Makkah,86082,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
3,2004,Makkah,86636,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
4,2005,Makkah,65099,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
5,2008,Makkah,77013,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
6,2014,Madinah,31447,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
7,2013,Madinah,28513,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
8,2012,Madinah,14459,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
9,1994,Madinah,3767,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
10,1998,Madinah,13020,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
11,2000,Madinah,9562,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
12,2007,Madinah,12174,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
13,2004,Madinah,10556,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
14,1995,Al-Qaseem,49690,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
15,1996,Al-Qaseem,42693,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
16,2015,Eastern,135752,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
17,2015,Asir,38567,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
18,1995,Asir,4889,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
19,1996,Asir,3319,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
20,1998,Asir,13220,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
21,2010,Tabouk,10345,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
22,2013,Tabouk,12848,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
23,1996,Tabouk,2263,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
24,1998,Tabouk,6823,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
25,2001,Tabouk,6344,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
26,2007,Tabouk,11045,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
27,2017,Hail,22035,"27.400845724, 41.4406960508",27.400845724,41.4406960508,9379.0,265.0,773.0
28,2007,Hail,4021,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
29,2004,Hail,8656,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
30,2005,Hail,16247,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
31,2009,Hail,7282,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
32,2017,Northern Boarder,5280,"30.197074783, 41.8171186952",30.197074783,41.8171186952,11540.0,112.0,374.0
33,2012,Northern Boarder,3706,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
34,1993,Northern Boarder,1510,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
35,2000,Northern Boarder,2894,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
36,2005,Northern Boarder,1804,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
37,2010,Jazan,12270,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
38,1993,Jazan,6009,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
39,1997,Jazan,5695,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
40,2000,Jazan,5678,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
41,2001,Jazan,10631,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
42,2008,Jazan,11346,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
43,2010,Najran,6360,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
44,2013,Najran,8996,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
45,1995,Najran,3268,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
46,1999,Najran,3959,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
47,2003,Najran,4443,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
48,2009,Najran,6771,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
49,2015,Al-Baha,4856,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
50,2016,Al-Baha,4614,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,3618.0,185.0,1227.0
51,2011,Al-Baha,6450,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
52,1994,Al-Baha,2729,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
53,1996,Al-Baha,1468,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
54,2010,Al-Jouf,10937,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
55,1996,Al-Jouf,2518,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
56,2000,Al-Jouf,4666,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
57,2001,Al-Jouf,4756,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
58,2011,Riyadh,27772,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
59,2013,Riyadh,165994,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
60,1999,Riyadh,100291,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
61,2005,Riyadh,23245,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
62,2015,Makkah,157389,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
63,2013,Makkah,131108,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
64,1997,Riyadh,92145,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
65,2001,Riyadh,13090,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
66,2014,Makkah,149234,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
67,2010,Makkah,113531,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
68,1997,Makkah,76623,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
69,1999,Makkah,103535,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
70,2000,Makkah,87053,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
71,2006,Makkah,66967,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
72,2009,Makkah,112045,"21.628962766, 41.2636898334",21.628962766,41.2636898334,,,
73,2010,Madinah,15045,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
74,1995,Madinah,4155,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
75,1996,Madinah,3425,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
76,1999,Madinah,11108,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
77,2003,Madinah,12920,"24.927534539, 39.4918237173",24.927534539,39.4918237173,,,
78,2015,Al-Qaseem,13631,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
79,2014,Al-Qaseem,29113,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
80,2017,Al-Qaseem,6318,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,22405.0,319.0,1446.0
81,2010,Al-Qaseem,36737,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
82,2013,Al-Qaseem,17889,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
83,1994,Al-Qaseem,68916,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
84,2003,Al-Qaseem,10666,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
85,2000,Al-Qaseem,12226,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
86,2006,Al-Qaseem,12142,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
87,2007,Al-Qaseem,25174,"26.1967063704, 43.3429998455",26.1967063704,43.3429998455,,,
88,2017,Eastern,126816,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,81433.0,963.0,4073.0
89,2011,Eastern,151087,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
90,2012,Eastern,129971,"23.2883307307, 50.1478302439",23.2883307307,50.1478302439,,,
91,2012,Asir,23136,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
92,1997,Asir,12204,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
93,2003,Asir,15693,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
94,2008,Asir,18800,"19.1387847401, 42.941470036",19.1387847401,42.941470036,,,
95,2017,Tabouk,10232,"27.90165499, 37.2598581394",27.90165499,37.2598581394,11713.0,348.0,1243.0
96,2011,Tabouk,12820,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
97,1994,Tabouk,3282,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
98,2003,Tabouk,9873,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
99,2008,Tabouk,14928,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
100,2009,Tabouk,9424,"27.90165499, 37.2598581394",27.90165499,37.2598581394,,,
101,2014,Hail,10417,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
102,2010,Hail,7637,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
103,1995,Hail,9735,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
104,2002,Hail,5070,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
105,2001,Hail,6077,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
106,2008,Hail,7413,"27.400845724, 41.4406960508",27.400845724,41.4406960508,,,
107,2016,Northern Boarder,4958,"30.197074783, 41.8171186952",30.197074783,41.8171186952,13196.0,193.0,631.0
108,2011,Northern Boarder,4314,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
109,1999,Northern Boarder,2311,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
110,1998,Northern Boarder,2014,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
111,2001,Northern Boarder,2971,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
112,2006,Northern Boarder,2573,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
